ID	P1	P2	P3	P4	P5	P6	P7	P8
S357	569.854	1626.504	966.592	48.702	118.1841	765.826	1061.196	629.162
S358	689.149	1850.855	1028.754	55.2487	88.2207	789.851	1061.091	601.925
S359	699.59	1807.177	964.945	26.8083	91.8033	640.747	965.086	636.019
S360	607.993	1563.897	910.845	8.87548	73.5734	716.276	1060.565	655.166
S361	618.727	1851.2	1078.14	96.0576	117.2621	1031.396	1231.705	596.202
S362	633.589	1858.869	1032.596	168.4411	72.9362	957.31	1330.001	666.944
S363	766.327	2465.62	1397.459	144.5312	126.9201	921.34	1341.032	640.552
S364	554.568	1561.277	857.792	65.905	46.9714	754.517	958.929	588.609
S365	546.326	1346.06	704.965	32.0872	46.7754	590.782	746.886	407.999
S366	630.65	1793.3	1048.945	48.9279	100.705	819.442	1055.841	518.02
S367	704.19	2296.03	1281.09	117.5498	82.1871	1089.127	1292.895	813.995
S368	738.032	1993.651	1118.58	113.5514	117.7498	1077.94	1249.446	714.752
S369	646.031	1775.732	1036.772	89.6656	89.2271	816.866	1149.318	664.617
S370	470.612	1417.986	824.439	55.7285	60.0483	616.155	875.044	477.749
S371	663.815	1500.301	875.6	79.1023	91.6233	803.995	1091.037	552.042
S372	671.41	1891.609	1072.846	39.2136	103.7084	799.729	1136.28	614.031
S373	510.839	1390.303	749.747	26.52449	57.506	516.252	687.943	442.157
S374	611.975	1964.086	1123.475	108.9913	101.7781	887.754	1144.709	795.651
S375	832.52	2075.975	1050.075	19.40254	70.794	600.171	1004.514	649.953
S376	752.209	2187.96	1182.976	60.1676	75.1017	887.747	1327.254	622.038
S377	589.64	1879.894	1055.029	84.835	111.3731	822.058	1135.623	715.117
S378	674.707	1830.627	1011.023	32.9862	124.6002	832.641	1077.238	598.128
S379	628.508	1589.367	876.358	89.2479	38.3228	789.686	1037.242	553.756
S380	548.514	1590.981	862.853	68.6029	62.0803	785.569	1031.654	744.992
S381	602.18	1813.13	1052.233	158.381	69.1868	1054.5	1224.586	751.443
S382	762.769	2186.76	1196.718	102.6341	204.3604	929.657	1288.06	588.65
S383	512.634	1339.84	772.72	28.59706	57.426	530.17	815.697	421.783
S384	657.423	1484.982	848.143	50.2183	79.9099	791.242	1082.344	775.172
S385	683.14	1849.296	1021.035	58.8834	77.4633	716.768	992.022	531.002
S386	623.709	1638.479	887.174	96.235	40.1468	668.178	905.267	482.669
S387	549.407	1359.294	766.461	14.06768	65.5096	561.834	847.974	524.255
S388	657.613	1866.069	1033.157	90.6358	101.3395	941.955	1081.901	644.717
S389	563.678	1348.445	787.858	34.3564	106.9094	622.682	935.889	425.658
S390	576.834	1403.672	787.226	96.8766	41.7852	765.669	940.567	639.385
S391	570.952	1701.19	881.673	9.95733	35.4494	532.964	827.624	457.916
S392	647.325	1919.561	1114.521	89.1827	94.6486	979.056	1299.742	502.711
S393	715.914	2310.31	1252.342	66.8794	89.7596	921.294	1286.64	659.63
S394	665.228	2079.861	1129.081	174.492	45.3488	966.594	1287.605	679.578
S395	551.136	1400.776	835.532	39.7913	91.4572	742.626	1016.527	480.243
S396	636.944	1851.85	1072.423	157.0255	33.8318	1026.282	1245.249	565.535
S397	645.65	1955.897	1082.123	105.2185	111.6718	750.041	1230.57	636.041
S398	716.603	2277.63	1286.114	95.4209	92.6308	1017.965	1311.917	790.26
S399	548.51	1502.5	858.589	103.9919	79.9807	834.812	981.13	532.817
S400	755.767	2010.609	1141.965	178.3975	165.8214	889.617	1294.367	750.629
S401	581.93	1738.975	1013.144	94.0414	85.7832	768.758	1093.571	575.55
S402	761.079	2000.885	1145.659	99.1562	116.9862	886.869	1309.34	710.517
S403	644.956	1724.045	891.565	71.0809	29.9073	979.466	1141.458	553.484
S404	643.759	2054.19	1192.346	102.151	122.4228	1021.838	1364.798	752.345
S405	765.749	1963.374	1102.238	106.831	81.8462	861.244	1409.489	787.515
S406	672.037	1556.739	834.419	5.39313	61.1544	595.935	921.202	488.453
S407	799.385	2170	1177.421	65.6643	112.8774	891.955	1234.448	703.142
S408	604.509	1936.069	1099.926	157.9745	58.9744	1121.594	1292.142	867.001
S409	623.306	2003.798	1115.823	81.417	58.939	779.214	1148.646	831.142
S410	884.108	2215.5	1261.538	134.6472	147.5905	1128.737	1551.53	874.517
S411	562.214	1409.406	849.869	51.40107	69.2331	590.523	979.169	566.041
S412	598.364	1797.15	990.493	71.5663	59.5209	755.574	1111.959	745.566
S413	662.936	1902.161	1043.947	87.6374	93.4027	1065.937	1368.951	593.434
S414	718.135	2474.08	1381.016	99.4232	163.4117	975.417	1270.797	704.949
S415	598.61	1696.863	959.121	170.4894	59.4484	947.549	1262.383	393.406
S416	518.579	1501.717	824.724	24.97595	68.2945	770.469	912.673	559.612
S417	580.541	1862.692	1018.481	172.0028	58.5044	926.36	1078.981	604.248
S418	650.551	1820.246	1004.516	36.1813	81.6246	762.096	1103.201	555.801
S419	691.679	2205.82	1168.532	121.1113	114.8926	1074.249	1359.96	857.226
S420	672.454	1880.035	1055.094	61.8893	53.1894	787.666	1275.869	746.871
S421	657.773	2060.3	1130.846	59.2885	80.1319	744.506	1098.595	755.646
S422	742.7	2437.61	1304.804	106.5669	102.5835	988.124	1408.101	820.981
S423	625.83	1921.032	1074.99	123.4252	70.12	842.775	1189.645	523.674
S424	607.77	1661.174	922.04	53.2221	55.0059	812.701	1047.103	503.355
S425	765.28	2079.24	1106.665	22.33824	88.6831	929.918	1212.339	711.63
S426	688.797	1683.424	916.254	30.10787	75.7305	705.421	1058.517	562.887
S427	711.781	2035.909	1120.833	93.6629	112.8126	719.069	1147.737	654.757
S428	625.476	1908.804	1006.388	73.3148	81.4529	714.378	1069.409	543.487
S429	623.905	1718.523	962.753	63.5188	65.6588	776.176	1112.722	569.965
S430	665.238	1964.734	1145.715	76.6212	120.956	955.837	1311.784	708.618
S431	572.566	1535.992	838.314	34.05685	78.311	527.33	817.226	495.258
S432	637.668	1706.524	933.702	108.762	67.3678	793.516	1004.518	493.371
S433	666.201	1862.225	1085.192	52.6872	156.7394	699.907	1061.259	573.768
S434	544.72	1462.343	876.816	102.9388	51.4111	865.134	1117.369	667.47
S435	524.286	1213.16	687.242	29.748	73.1196	520.553	773.994	465.378
S436	769.089	2291.47	1257.899	131.564	85.3418	898.272	1417.967	743.127
S437	610.419	1983.254	1107.964	151.1997	78.1059	1056.782	1322.477	780.748
S438	592.42	1891.597	1038.151	104.4993	83.4814	846.44	1092.127	610.506
S439	659.226	1726.95	956.544	110.4418	122.889	878.205	1162.328	605.068
S440	678.094	2008.987	1153.378	181.0936	150.0095	1054.726	1368.674	670.721
S441	595.626	1748.092	986.955	43.3215	146.7905	627.138	885.521	540.007
S442	622.253	1556.872	891.199	91.26	94.7096	714.554	951.756	569.674
S443	602.702	1849.075	978.986	82.0908	78.057	661.254	1044.987	575.59
S444	800.211	2189.09	1246.184	97.5082	126.3199	1003.109	1365.919	763.688
S445	675.174	2383.9	1295.044	69.4017	117.6168	913.009	1312.36	823.019
S446	552.489	1673.623	918.291	38.4961	126.9127	675.641	966.638	560.754
S447	623.577	1699.582	968.232	101.468	72.6389	829.92	1136.711	648.204
S448	577.6	1717.504	932.421	20.00095	98.0292	629.869	909.199	526.026
S449	699.226	2048.379	1159.955	94.1685	125.0897	936.807	1323.839	826.99
S450	620.818	1701.649	981.245	79.8849	76.401	896.406	1131.19	660.703
S451	610.585	1672.716	897.13	63.2575	117.7711	610.705	987.788	627.251
S452	607.163	1732.395	973.481	94.9123	53.1387	734.461	1078.563	578.373
S453	599.968	1876.971	1051.253	90.0987	71.1163	840.849	1109.515	561.366
S454	666.659	2068.56	1093.815	33.9052	58.9236	843.561	1203.497	844.754
S455	720.832	2042.96	1153.851	121.7092	70.1629	905.211	1302.897	697.046
S456	590.062	1590.685	902.33	28.5764	160.5436	681.12	983.995	644.791
S457	556.369	1557.237	867.943	86.332	88.0472	595.374	902.98	470.374
S458	580.484	1865.688	1015.36	83.658	88.9648	788.249	1098.603	692.733
S459	654.731	2048.825	1191.328	105.9556	120.3453	991.153	1288.021	706.348
S460	669.006	1740.887	991.127	124.1188	44.2058	778.238	1030.424	546.291
S461	706.244	2050.08	1144.96	110.468	54.2528	875.558	1242.421	775.319
S462	529.874	1461.904	853.853	83.8857	87.0344	948.664	1127.552	550
S463	537.543	1704.725	939.508	128.317	99.4462	744.175	996.794	522.71
S464	505.572	1498.023	805.991	50.4759	103.957	593.88	845.185	567.304
S465	677.12	2097.87	1180.81	78.8446	59.5742	851.788	1216.858	834.223
S466	699.275	1946.391	1091.528	58.702	88.1678	905.506	1269.357	676.498
S467	694.704	1927.175	1084.635	77.1307	68.8723	986.979	1313.845	685.887
S468	639.361	1830.535	996.586	102.3223	70.6782	878.873	1223.951	778.069
S469	854.024	2130.81	1150.277	89.4613	73.001	917.559	1242.42	692.205
S470	563.428	1725.76	960.794	91.5609	68.4633	859.52	1101.915	564.807
S471	579.586	1503.223	845.79	37.2298	45.3097	680.8	924.634	544.933
S472	562.516	1730.536	980.012	142.9467	60.9457	862.111	1163.168	580.581
S473	712.849	2041.621	1170.67	84.6557	82.6855	1019.913	1331.594	766.853
S474	498.839	1291.783	716.814	10.57058	81.2295	551.111	713.653	522.564
S475	621.096	1983.359	1085.706	78.3825	99.8105	690.812	1087.266	587.223
S476	849.718	2506.7	1373.911	166.8684	181.3429	966.122	1534.433	825.724
S477	578.608	1700.115	979.49	83.2253	139.0624	798.645	1119.891	535.867
S478	599.477	1633.614	940.748	88.2877	74.4809	1015.56	1279.25	695.438
S479	801.533	2176.62	1231.493	81.706	55.891	878.519	1265.653	734.243
S480	547.274	1740.349	955.397	61.1917	54.8939	804.776	1089.552	601.375
S481	674.32	2085.309	1177.28	187.4325	46.9311	1014.291	1399.834	784.442
S482	508.38	1472.949	804.335	52.4132	89.7456	749.248	964.291	531.812
S483	702.077	1930.847	1080.032	62.6736	109.2373	876.062	1138.531	599.363
S484	663.072	1863.657	1071.673	71.7825	64.5158	970.448	1282.294	597.152
S485	565.866	1594.616	922.509	70.0791	67.5803	829.644	1036.731	624.579
S486	628.974	2080.096	1123.223	124.7141	66.944	965.551	1208.852	752.659
S487	697.135	2393.34	1286.783	59.5082	99.4498	978.422	1196.978	621.331
S488	709.321	2117.68	1170.34	100.6622	97.7076	774.765	1269.061	754.26
S489	722.761	2023.909	1171.616	55.7678	78.0397	904.852	1365.751	688.692
S490	857.054	1781.581	1008.636	48.0683	69.5792	886.106	1227.955	629.134
S491	560.455	1725.331	963.683	79.0947	103.2685	649.939	940.15	514.492
S492	725	2082.385	1123.918	15.87155	96.2518	819.126	1204.683	741.486
S493	644.753	1964.934	1111.686	74.7543	104.9706	796.404	1102.168	520.272
S494	567.803	1533.474	895.547	96.6281	74.8965	766.19	1000.319	537.593
S495	701.393	2258.71	1256.363	129.4321	78.0014	996.696	1310.705	791.053
S496	731.241	2022.469	1107.094	98.437	111.2798	970.834	1389.441	708.615
S497	711.369	1873.789	1030.239	44.95342	106.1648	784.002	1157.853	643.142
S498	580.994	1817.555	1034.953	73.3664	78.5842	794.75	1156.893	463.885
S499	705.558	2089.43	1117.352	44.8603	68.0912	695.98	1117.717	684.348
S500	660.552	2090.99	1145.009	126.0829	108.9389	917.927	1279.818	716.152
S501	717.116	1920.976	1068.601	142.2409	58.414	1000.927	1383.607	685.937
S502	732.65	1890.216	1047.4	32.7377	81.2691	735.854	974.443	619.413
S503	483.699	1421.425	788.587	7.59754	87.5307	567.233	655.862	468.678
S504	533.781	1650.838	932.973	79.684	61.4777	578.925	902.515	546.03
S505	431.327	1083.439	582.222	10.07403	42.4489	405.391	587.071	324.728
S506	626.723	1994.404	1073.699	122.8922	81.1142	778.424	1022.464	732.173
S507	599.328	1967.264	1150.006	26.6465	94.9186	833.431	1196.917	669.144
S508	658.663	1899.396	1089.914	104.4199	78.2996	980.63	1314.061	797.214
S509	774.654	2049.534	1125.111	119.0649	73.1295	900.641	1329.279	723.753
S510	776.978	2313.72	1270.182	70.0545	184.2316	888.683	1411.601	786.359
S511	726.776	2099.066	1161.842	82.8747	123.2417	924.247	1120.329	616.557
S512	684.224	1654.136	958.582	86.877	117.3251	840.96	1187.344	625.472
S513	596.175	1573.166	867.957	22.44942	262.968	534.95	776.329	491.364
S514	616.281	1808.094	1009.472	151.2077	59.0817	918.728	1189.506	661.947
S515	652.467	1989.827	1045.171	68.1312	108.8254	662.654	1037.171	640.44
S516	481.956	1278.08	721.392	25.1137	115.2585	551.044	798.204	498.418
S517	717.477	1875.055	1054.858	85.2179	106.1718	900.727	1231.115	723.703
S518	703.472	1923.866	1025.736	54.728	128.2259	717.064	1030.471	678.483
S519	523.386	1348.462	697.358	17.75929	40.0337	455.266	660.688	380.066
S520	529.949	1374.094	765.716	75.0832	142.4044	661.388	975.128	435.622
S521	671.515	1897.839	1036.506	41.8039	78.6049	729.978	1216.614	684.412
S522	575.247	1660.136	943.863	81.4069	81.9293	777.22	1024.269	481.626
S523	842.609	2286.77	1300.02	88.0145	92.5306	1010.375	1327.19	635.666
S524	621.217	1615.099	889.684	61.5182	148.3149	723.311	948.173	469.05
S525	754.913	1919.666	1118.519	103.3705	77.3117	902.588	1327.304	705.031
S526	654.11	2111.86	1148.805	150.0365	100.5939	854.762	1185.187	668.103
S527	776.807	2166.36	1185.605	68.8212	78.2145	843.802	1185.232	667.52
S528	508.76	1589.754	903.156	65.3829	65.1068	707.423	998.186	607.19
S529	525.477	1630.343	912.495	136.7594	53.5816	772.682	956.671	614.468
S530	819.075	2311.1	1272.956	87.331	98.6739	1054.424	1457.953	828.417
S531	612.579	1691.261	955.594	1.767637	45.743	725.223	902.161	490.79
S532	651.176	1862.345	1095.071	69.2581	105.4774	972.64	1387.739	605.525
S533	584.201	1554.645	927.184	63.977	82.3155	791.533	1119.129	510.458
S534	689.956	2313.6	1271.042	84.0137	74.3045	1098.349	1411.913	775.76
S535	600.771	1850.079	1044.745	106.3071	155.9039	874.211	1160.467	587.629
S536	681.693	2046.761	1144.771	122.7899	77.1078	981.659	1261.607	777.143
S537	582.438	1620.985	914.951	89.0528	83.3849	721.864	941.253	622.009
S538	599.384	1462.731	840.738	16.58229	117.4587	535.341	804.71	562.328
S539	728.002	1860.82	1005.186	67.9315	74.5714	720.999	1084.794	556.439
S540	542.663	1512.057	898.031	35.56182	118.3913	746.972	1015.774	503.256
S541	563.099	1523.294	878.52	32.4749	177.8039	760.733	965.175	450.223
S542	538.877	1569.406	907.866	38.4038	129.9181	714.185	984.782	542.714
S543	602.925	1533.757	873.966	88.3431	59.4873	880.598	1081.693	602.572
S544	501.208	1571.914	881.969	72.6589	80.657	797.699	1016.125	710.313
S545	527.008	1319.809	712.29	19.94603	48.7915	624.192	830.039	519.178
S546	699.589	2047.44	1160.288	126.4536	88.9133	949.588	1225.683	458.327
S547	734.138	2222.4	1168.772	126.1296	74.1482	829.921	1204.402	671.389
S548	622.574	1283.889	745.714	10.75637	51.8435	666.539	968.225	525.993
S549	708.715	2103.147	1111.987	109.8815	78.0146	782.414	1129.194	677.88
S550	647.459	1744.435	936.789	46.6304	117.0212	703.966	1077.034	542.906
S551	579.142	1690.444	926.055	102.9298	40.972	877.894	1028.065	679.407
S552	680.918	1833.937	1025.776	88.9365	107.2181	895.777	1204.04	636.577
S553	622.744	1946.871	1043.322	73.3283	77.0566	793.806	1170.077	796.757
S554	752.795	2107.89	1140.317	84.3959	163.7738	825.369	1172.379	787.83
S555	699.06	1850.895	1064.495	44.8775	125.6387	840.453	1250.909	854.39
S556	627.837	1622.171	914.304	99.8803	31.0157	775.883	1040.234	509.623
S557	568.447	1539.649	897.289	71.1502	87.7591	703.883	1099.72	569.783
S558	554.393	1546.183	850.535	178.7749	45.0181	709.652	936.779	417.565
S559	612.829	1788.374	1010.556	88.1497	110.9435	729.302	1138.603	548.095
S560	629.428	1899.839	1067.117	90.1978	98.4732	808.175	1071.055	625.987
S561	549.045	1956.371	1100.311	74.5345	78.3851	885.048	1112.361	576.156
S562	628.956	1591.545	972.606	73.263	186.6022	847.577	939.37	410.024
S563	761.025	2279.62	1208.835	131.3626	85.7793	1032.43	1401.353	697.785
S564	608.945	1846.561	1085.258	115.6623	102.754	933.012	1144.802	755.827
S565	616.006	1951.12	1099.472	125.8815	96.2795	973.751	1237.682	785.486
S566	592.645	1594.964	895.459	62.1266	78.379	581.386	838.121	411.624
S567	808.987	2378.3	1315.991	23.89074	111.4253	957.667	1377.166	709.901
S568	680.772	1578.842	916.291	20.8691	76.9381	652.261	1109.536	567.59
S569	654.963	1881.751	1032.711	57.8147	110.3265	810.998	1181.747	696.747
S570	583.388	1614.711	876.17	112.6008	63.549	640.419	939.154	529.037
S571	588.378	1584.083	864.566	66.813	64.113	655.569	935.831	512.661
S572	495.084	1461.602	841.59	54.9167	94.3429	642.497	915.171	534.985
S573	662.186	1980.046	1112.025	90.2415	91.7725	815.233	1220.187	737.012
S574	722.075	2138.12	1169.142	86.2941	111.9763	932.273	1225.988	775.239
S575	657.151	1794.449	1049.879	91.5541	42.9	890.964	1266.868	610.353
S576	747.324	2490.41	1346.205	130.8522	87.4565	978.442	1370.59	820.643
S577	521.028	1504.496	856.065	74.5593	99.6015	729.841	987.203	527.977
S578	702.997	2112.5	1149.751	110.8177	120.8875	896.014	1171.178	629.698
S579	755.725	2156.86	1155.67	17.40146	134.3978	803.753	1070.319	686.085
S580	537.971	1498.716	871.095	55.8653	83.2883	740.358	1008.147	537.146
S581	644.047	1922.656	1046.929	50.5661	113.9401	756.074	1159.38	699.943
S582	586.842	1734.365	970.853	120.5533	56.7983	1094.96	1178.106	728.911
S583	655.077	2076.036	1140.823	175.7366	82.5396	936.747	1163.751	658.778
S584	575.932	1650.549	912.41	158.7476	55.5478	933.814	1150.743	714.131
S585	614.042	1987.855	1080.306	100.1929	88.1609	823.919	1100.072	625.879
S586	552.344	1552.772	849.059	42.5005	90.443	696.746	954.653	464.181
S587	551.151	1403.256	785.732	36.5965	69.0537	746.065	894.553	492.493
S588	544.069	1685.446	995.856	90.1789	31.8155	748.285	1145.094	578.27
S589	721.34	2065.825	1106.128	63.3377	162.9161	794.037	1066.446	646.333
S590	535.602	1613.922	904.833	147.9359	75.3625	861.484	1109.774	569.077
S591	640.325	1882.113	1065.538	121.9236	60.6711	889.206	1233.938	643.332
S592	579.423	1690.433	972.602	92.3213	63.4919	853.693	1173.068	636.287
S593	455.443	1210.759	707.169	56.5357	86.2446	532.742	763.312	460.539
S594	770.227	1839.41	1062.689	29.0622	111.0698	833.732	1212.175	659.838
S595	641.976	1987.091	1067.746	63.4604	86.4654	829.004	1230.137	714.408
S596	618.32	1807.241	983.647	117.0389	60.7318	778.752	1030.586	524.204
S597	710.43	1924.748	1060.402	107.8679	53.7287	955.877	1268.136	666.908
S598	756.55	1976.24	1142.567	50.9064	148.9536	974.458	1381.662	735.215
S599	591.831	1642.004	932.111	126.6559	92.6097	843.452	1214.215	655.217
S600	695.221	2336.64	1252.008	112.8813	169.421	781.656	1104.626	617.716
S601	487.89	1339.13	743.929	25.70866	126.2895	589.29	804.241	563.02
S602	677.537	1875.068	1057.974	90.9648	47.0416	811.952	1093.994	597.556
S603	767.698	2319.29	1373.765	83.8429	111.6884	887.547	1250.33	638.045
S604	738.198	2121.71	1152.549	226.796	88.8176	1038.781	1358.855	578.497
S605	662.953	1975.013	1112.042	115.054	85.1196	968.783	1281.91	638.64
S606	511.448	1429.29	809.846	45.5916	103.2415	786.684	1022.814	564.424
S607	537.722	1816.213	976.159	80.9645	96.5235	710.31	995.533	487.111
S608	632.196	1849.697	1006.165	124.5121	58.8653	887.922	1169.735	620.569
S609	599.195	1559.77	871.585	77.3291	26.5156	786.237	1055.036	598.254
S610	531.509	1584.638	904.095	90.0213	38.8155	780.759	1096.649	544.34
S611	630.169	1803.416	990.215	86.9288	65.7262	868.495	1202.079	648.919
S612	580.631	1928.548	1053.177	45.2828	88.6725	860.249	1127.113	716.89
S613	684.292	2080.24	1196.824	64.4114	66.9805	944.435	1242.247	731.3
S614	780.771	2513.27	1378.743	207.4687	131.5632	1036.766	1466.138	695.866
S615	720.733	1957.441	1032.251	101.3134	174.617	734.949	1113.472	679.787
S616	570.016	1669.296	922.752	113.2513	132.1629	889.411	1071.925	508.121
S617	583.908	1410.411	842.747	61.9335	54.398	681.952	1013.226	692.64
S618	467.785	1300.158	721.587	26.11464	88.701	520.428	776.886	506.371
S619	720.034	1917.403	1035.578	32.3327	84.6255	709.935	1028.609	720.193
S620	445.605	1263.856	707.233	50.3608	100.522	559.884	677.703	388.925
S621	627.947	1753.235	968.619	85.4542	87.8393	932.907	1099.763	669.569
S622	741.025	2182.02	1225.518	111.3809	101.0705	782.243	1142.893	638.355
S623	700.713	1767.01	999.451	88.3565	92.7419	812.929	1144.588	690.071
S624	593.888	1403.941	814.019	72.3823	86.2009	699.123	1002.748	619.208
S625	755.592	2076.01	1219.521	107.4685	63.6371	1065.186	1512.636	769.169
S626	647.147	1796.959	996.729	37.8118	193.096	564.506	982.387	419.622
S627	553.698	1496.036	860.851	12.95048	97.1013	755.315	954.787	574.556
S628	570.143	1649.82	937.452	118.759	62.3556	720.33	1134.255	693.841
S629	689.627	1915.699	1119.755	35.6049	59.8901	777.968	1133.345	633.03
S630	574.764	1646.731	907.878	20.3774	89.4763	751.137	1035.204	614.557
S631	560.044	1437.347	759.319	44.7784	79.4075	565.315	848.017	456.947
S632	482.957	1484.43	849.502	27.2191	90.6245	542.774	796.038	558.819
S633	607.426	1505.901	831.284	21.84364	92.8854	653.395	852.548	628.619
S634	694.815	2251.66	1211.289	66.1323	82.6126	802.098	1205.54	767.329
S635	463.65	1014.852	566.087	15.18284	16.43281	468.352	677.965	388.066
S636	663.695	1793.111	1025.576	74.2119	69.7516	912.865	1294.729	872.983
S637	567.832	1600.337	838.645	34.0383	87.584	630.862	912.069	559.418
S638	741.104	1994.275	1081.268	122.9526	115.4394	814.358	1166.892	621.833
S639	635.156	2005.94	1091.179	85.6652	145.0361	681.66	1026.886	597.565
S640	675.471	1908.719	1036.02	123.8965	54.9158	867.953	1182.127	611.589
S641	579.095	1550.87	882.773	54.5888	70.5691	651.672	949.203	527.448
S642	814.275	2471.12	1403.829	71.9718	126.8109	1128.859	1684.651	847.338
S643	673.314	2008.458	1112.338	98.1453	160.0337	852.945	1174.506	571.065
S644	549.678	1566.527	893.653	73.5417	71.9936	689.435	916.811	509.332
S645	674.951	1597.926	873.055	11.3789	101.1019	542.261	877.521	555.323
S646	627.627	1703.763	938.58	72.2471	76.9063	785.147	1053.888	503.605
S647	674.196	1808.845	1018.887	79.7413	120.4204	848.067	1032.161	559.512
S648	699.821	2181.16	1216.379	91.7409	85.6316	978.129	1270.407	784.198
S649	617.589	1953.607	1122.45	118.8363	76.682	917.474	1347.846	678.619
S650	611.144	2056.54	1112.469	120.0538	55.6938	1036.873	1204.966	635.311
S651	644.381	1693.994	938.559	99.4492	176.925	746.822	1063.351	621.906
S652	636.14	1740.342	881.503	78.954	47.5633	622.632	843.087	590.162
S653	499.415	1293.951	749.673	70.2081	99.4729	582.111	886.409	458.036
S654	567.334	1309.223	743.974	12.80435	94.0039	550.754	808.092	435.499
S655	538.813	1425.08	815.848	8.20539	119.5655	686.274	898.388	575.394
S656	640.95	1975.068	1081.683	27.39107	157.6836	612.036	1064.35	476.499
S657	730.082	1894.266	1043.31	89.2086	109.3982	828.53	1116.657	525.971
S658	754.632	1959.08	947.878	53.54129	60.2617	716.319	1019.537	551.467
S659	665.143	2116.3	1194.434	132.5336	88.4985	802.781	1207.8	625.834
S660	522.844	1251.277	672.671	1.380887	18.80735	527.119	701.337	507.264
S661	693.558	2117.84	1160.444	108.9535	80.3434	795.087	1188.315	765.412
S662	696.761	1767.72	970.12	59.7211	87.8897	737.849	1011.78	627.703
S663	626.884	1865.469	1062.341	103.045	147.8407	780.328	1047.118	554.815
S664	639.538	2181.47	1190.096	105.6267	92.5488	912.754	1211.763	742.234
S665	691.2	1942.455	1066.704	111.7645	87.4403	769.483	1100.475	543.138
S666	617.552	1925.583	1039.932	124.437	61.7001	752.141	1042.201	550.708
S667	544.707	1390.824	778.599	29.1391	92.3744	531.708	822.659	485.471
S668	624.029	1628.551	975.741	56.0133	118.1437	801.605	1118.082	638.854
S669	448.591	1234.45	711.16	41.0559	155.439	547.433	732.192	489.094
S670	560.739	1365.229	772.751	43.67049	87.4071	563.703	892.937	454.862
S671	522.766	1645.47	916.563	23.74221	144.927	722.325	917.295	542.698
S672	620.509	1762.328	994.625	151.0586	79.5116	895.068	1094.795	646.317
S673	662.643	1645.042	919.572	73.0613	73.2367	803.378	1099.993	582.657
S674	620.731	1722.767	970.021	55.1489	118.4191	783.361	1072.271	679.479
S675	516.868	1454.482	851.039	125.2238	39.021	787.737	966.322	595.975
S676	573.087	1873.344	1067.789	100.1888	72.3305	962.263	1158.229	667.109
S677	649.855	1439.377	756.125	50.3789	58.6146	660.896	848.753	524.48
S678	592.459	1598.347	865.073	67.5222	91.461	669.188	903.041	453.102
S679	548.132	1471.659	813.795	27.6951	116.429	513.245	769.751	426.311
S680	563.24	1653.418	912.706	32.123	72.9884	551.174	846.697	530.684
S681	667.285	1710.804	975.355	126.3902	92.5587	870.116	1229.426	699.569
S682	647.47	1701.086	949.47	56.9393	81.9129	660.941	980.946	632.85
S683	479.45	1374.261	755.581	98.3734	35.4142	666.817	812.573	398.288
S684	415.212	1132.822	645.881	11.06813	110.817	501.615	614.516	488.924
S685	551.979	1727.067	969.255	142.6415	51.0729	864.495	1115.537	608.363
S686	660.789	2116.14	1198.98	38.6706	99.4075	754.206	1225.238	735.429
S687	819.507	2094.31	1109.066	9.88282	91.613	692.24	1144.913	938.063
S688	677.044	1734.33	1004.286	46.7146	152.402	750.932	967.186	567.986
S689	802.388	2449.72	1315.929	114.66	90.6339	1093.334	1566.587	915.247
S690	635.22	1641.169	939.055	78.485	110.9276	689.591	1074.296	708.182
S691	557.262	1789.779	990.825	154.8808	65.5256	1110.299	1259.87	593.35
S692	635.717	1749.065	939.486	12.80145	67.9693	604.073	939.938	608.01
S693	527.344	1523.359	872.402	69.0295	102.9778	765.419	1047.126	604.05
S694	667.469	1735.572	936.86	43.3563	57.4586	523.528	834.17	529.702
S695	695.692	2145.98	1142.66	109.817	48.2244	850.989	1169.844	730.272
S696	670.524	1961.937	1096.131	82.5783	95.5787	832.618	1248.002	621.118
S697	761.413	2398.75	1339.106	41.4108	128.1133	768.301	1248.786	639.984
S698	698.791	2014.233	1131.298	50.1426	50.1831	908.798	1249.72	731.568
S699	583.148	1636.858	939.202	121.7284	64.8001	856.303	1088.822	546.538
S700	463.163	1336.366	746.935	59.6923	172.5225	615.604	810.815	346.261
S701	795.375	1995.398	1094.531	47.5534	293.588	767.368	1035.607	604.756
S702	612.744	1616.351	902.154	77.0692	35.0485	805.098	1051.002	707.283
S703	653.785	1572.855	864.414	37.21416	118.4513	684.559	958.472	455.456
S704	509.851	1617.521	910.059	13.10341	91.3586	625.725	855.649	555.473
S705	555.021	1515.077	835.437	126.0347	104.2728	686.09	923.492	585.268
S706	725.039	2034.59	1194.941	123.4777	80.6165	1113.607	1522.166	873.209
S707	652.145	1856.894	1015.321	61.4667	82.7642	768.407	1068.123	598.084
S708	710.177	1954.389	1150.17	108.9165	111.2831	942.672	1266.32	663.899
S709	707.746	2099.865	1189.249	71.2833	70.6279	1024.075	1423.502	758.222
S710	684.78	1704.491	990.333	13.497987	62.331	740.962	1188.362	791.1
S711	662.529	1684.825	967.89	84.4552	92.8557	804.444	1153.434	683.686
S712	702.105	1975.481	1091.484	137.472	91.3285	829.942	1160.683	675.832
S713	794.12	2177.34	1191.844	38.3298	100.3679	808.569	1288.858	827.268
